constructor,driver,year,date,quali_pos,status_id,position,dob,driver_nationality,constructor_nationality,GP_name,country,age_at_gp_in_days,driver_home,constructor_home,driver_dnf,constructor_dnf,driver_confidence,constructor_reliability,active_driver,active_constructor
Ferrari,Fernando Alonso,2010,14-03-2010,3,1,3,29-07-1981,Spa,Ita,Bahrain Grand Prix,Bah,10455,0,0,0,0,0.9248554913294798,0.8980099502487562,0,1
Ferrari,Felipe Massa,2010,14-03-2010,2,1,2,25-04-1981,Bra,Ita,Bahrain Grand Prix,Bah,10550,0,0,0,0,0.9161290322580645,0.8980099502487562,0,1
McLaren,Lewis Hamilton,2010,14-03-2010,4,1,4,07-01-1985,Bri,Bri,Bahrain Grand Prix,Bah,9197,0,0,0,0,0.945273631840796,0.5914786967418546,1,1
Red Bull,Sebastian Vettel,2010,14-03-2010,1,1,1,03-07-1987,Ger,Aus,Bahrain Grand Prix,Bah,8290,0,0,0,0,0.955,0.825,1,1
Mercedes,Nico Rosberg,2010,14-03-2010,5,1,5,27-06-1985,Ger,Ger,Bahrain Grand Prix,Bah,9026,0,0,0,0,0.9485294117647058,0.8778054862842892,0,1
Mercedes,Michael Schumacher,2010,14-03-2010,7,1,7,03-01-1969,Ger,Ger,Bahrain Grand Prix,Bah,15045,0,0,0,0,0.8771929824561404,0.8778054862842892,0,1
McLaren,Jenson Button,2010,14-03-2010,8,1,8,19-01-1980,Bri,Bri,Bahrain Grand Prix,Bah,11012,0,0,0,0,0.9407407407407408,0.5914786967418546,0,1
Red Bull,Mark Webber,2010,14-03-2010,6,1,6,27-08-1976,Aus,Aus,Bahrain Grand Prix,Bah,12252,0,0,0,0,0.935064935064935,0.825,0,1
Racing Point,Vitantonio Liuzzi,2010,14-03-2010,12,1,12,06-08-1980,Ita,Ind,Bahrain Grand Prix,Bah,10812,0,0,0,0,0.7837837837837838,0.6084788029925188,0,1
Williams,Rubens Barrichello,2010,14-03-2010,11,1,11,23-05-1972,Bra,Bri,Bahrain Grand Prix,Bah,13809,0,0,0,0,0.972972972972973,0.4962593516209476,0,1
Renault,Robert Kubica,2010,14-03-2010,9,1,9,07-12-1984,Pol,Fre,Bahrain Grand Prix,Bah,9228,0,0,0,0,0.975,0.5301507537688442,0,1
Racing Point,Adrian Sutil,2010,14-03-2010,10,1,10,11-01-1983,Ger,Ind,Bahrain Grand Prix,Bah,9924,0,0,0,0,0.868421052631579,0.6084788029925188,0,1
AlphaTauri,Jaime Alguersuari,2010,14-03-2010,18,1,18,23-03-1990,Spa,Ita,Bahrain Grand Prix,Bah,7296,0,0,0,0,0.9210526315789473,0.4547738693467337,0,1
Williams,Nico Hülkenberg,2010,14-03-2010,13,11,13,19-08-1987,Ger,Bri,Bahrain Grand Prix,Bah,8243,0,0,0,1,0.898876404494382,0.4962593516209476,0,1
Lotus,Heikki Kovalainen,2010,14-03-2010,21,12,21,19-10-1981,Fin,Mal,Bahrain Grand Prix,Bah,10373,0,0,0,1,0.95,0.07894736842105265,0,0
AlphaTauri,Sébastien Buemi,2010,14-03-2010,15,10,15,31-10-1988,Swi,Ita,Bahrain Grand Prix,Bah,7804,0,0,0,1,0.868421052631579,0.4547738693467337,0,1
Lotus,Jarno Trulli,2010,14-03-2010,20,9,20,13-07-1974,Ita,Mal,Bahrain Grand Prix,Bah,13028,0,0,0,1,0.972972972972973,0.07894736842105265,0,0
Alfa Romeo,Pedro de la Rosa,2010,14-03-2010,14,9,14,24-02-1971,Spa,Swi,Bahrain Grand Prix,Bah,14263,0,0,0,1,0.8571428571428572,0.42713567839195976,0,1
HRT,Bruno Senna,2010,14-03-2010,23,25,23,15-10-1983,Bra,Spa,Bahrain Grand Prix,Bah,9647,0,0,0,1,0.8260869565217391,0.15652173913043477,0,0
Virgin,Timo Glock,2010,14-03-2010,19,6,19,18-03-1982,Ger,Bri,Bahrain Grand Prix,Bah,10223,0,0,0,1,0.9122807017543859,0.09210526315789469,0,0
Renault,Vitaly Petrov,2010,14-03-2010,17,22,17,08-09-1984,Rus,Fre,Bahrain Grand Prix,Bah,9318,0,0,0,1,0.8793103448275862,0.5301507537688442,0,1
Alfa Romeo,Kamui Kobayashi,2010,14-03-2010,16,9,16,13-09-1986,Jap,Swi,Bahrain Grand Prix,Bah,8583,0,0,0,1,0.8356164383561644,0.42713567839195976,0,1
Virgin,Lucas di Grassi,2010,14-03-2010,22,9,22,11-08-1984,Bra,Bri,Bahrain Grand Prix,Bah,9346,0,0,0,1,0.9473684210526316,0.09210526315789469,0,0
