constructor,driver,year,date,quali_pos,status_id,position,dob,driver_nationality,constructor_nationality,GP_name,country,age_at_gp_in_days,driver_home,constructor_home,driver_dnf,constructor_dnf,driver_confidence,constructor_reliability,active_driver,active_constructor
Ferrari,Fernando Alonso,2010,2010-03-14,3,1,3,1981-07-29,Spa,Ita,Bahrain Grand Prix,Bah,10455,0,0,0,0,0.9248554913294798,0.8980099502487562,0,1
Ferrari,Felipe Massa,2010,2010-03-14,2,1,2,1981-04-25,Bra,Ita,Bahrain Grand Prix,Bah,10550,0,0,0,0,0.9161290322580645,0.8980099502487562,0,1
McLaren,Lewis Hamilton,2010,2010-03-14,4,1,4,1985-01-07,Bri,Bri,Bahrain Grand Prix,Bah,9197,0,0,0,0,0.945273631840796,0.5914786967418546,1,1
Red Bull,Sebastian Vettel,2010,2010-03-14,1,1,1,1987-07-03,Ger,Aus,Bahrain Grand Prix,Bah,8290,0,0,0,0,0.955,0.825,1,1
Mercedes,Nico Rosberg,2010,2010-03-14,5,1,5,1985-06-27,Ger,Ger,Bahrain Grand Prix,Bah,9026,0,0,0,0,0.9485294117647058,0.8778054862842892,0,1
Mercedes,Michael Schumacher,2010,2010-03-14,7,1,7,1969-01-03,Ger,Ger,Bahrain Grand Prix,Bah,15045,0,0,0,0,0.8771929824561404,0.8778054862842892,0,1
McLaren,Jenson Button,2010,2010-03-14,8,1,8,1980-01-19,Bri,Bri,Bahrain Grand Prix,Bah,11012,0,0,0,0,0.9407407407407408,0.5914786967418546,0,1
Red Bull,Mark Webber,2010,2010-03-14,6,1,6,1976-08-27,Aus,Aus,Bahrain Grand Prix,Bah,12252,0,0,0,0,0.935064935064935,0.825,0,1
Racing Point,Vitantonio Liuzzi,2010,2010-03-14,12,1,12,1980-08-06,Ita,Ind,Bahrain Grand Prix,Bah,10812,0,0,0,0,0.7837837837837838,0.6084788029925188,0,1
Williams,Rubens Barrichello,2010,2010-03-14,11,1,11,1972-05-23,Bra,Bri,Bahrain Grand Prix,Bah,13809,0,0,0,0,0.972972972972973,0.4962593516209476,0,1
Renault,Robert Kubica,2010,2010-03-14,9,1,9,1984-12-07,Pol,Fre,Bahrain Grand Prix,Bah,9228,0,0,0,0,0.975,0.5301507537688442,0,1
Racing Point,Adrian Sutil,2010,2010-03-14,10,1,10,1983-01-11,Ger,Ind,Bahrain Grand Prix,Bah,9924,0,0,0,0,0.868421052631579,0.6084788029925188,0,1
AlphaTauri,Jaime Alguersuari,2010,2010-03-14,18,1,18,1990-03-23,Spa,Ita,Bahrain Grand Prix,Bah,7296,0,0,0,0,0.9210526315789473,0.4547738693467337,0,1
Williams,Nico Hülkenberg,2010,2010-03-14,13,11,13,1987-08-19,Ger,Bri,Bahrain Grand Prix,Bah,8243,0,0,0,1,0.898876404494382,0.4962593516209476,0,1
Lotus,Heikki Kovalainen,2010,2010-03-14,21,12,21,1981-10-19,Fin,Mal,Bahrain Grand Prix,Bah,10373,0,0,0,1,0.95,0.07894736842105265,0,0
AlphaTauri,Sébastien Buemi,2010,2010-03-14,15,10,15,1988-10-31,Swi,Ita,Bahrain Grand Prix,Bah,7804,0,0,0,1,0.868421052631579,0.4547738693467337,0,1
Lotus,Jarno Trulli,2010,2010-03-14,20,9,20,1974-07-13,Ita,Mal,Bahrain Grand Prix,Bah,13028,0,0,0,1,0.972972972972973,0.07894736842105265,0,0
Alfa Romeo,Pedro de la Rosa,2010,2010-03-14,14,9,14,1971-02-24,Spa,Swi,Bahrain Grand Prix,Bah,14263,0,0,0,1,0.8571428571428572,0.42713567839195976,0,1
HRT,Bruno Senna,2010,2010-03-14,23,25,23,1983-10-15,Bra,Spa,Bahrain Grand Prix,Bah,9647,0,0,0,1,0.8260869565217391,0.15652173913043477,0,0
Virgin,Timo Glock,2010,2010-03-14,19,6,19,1982-03-18,Ger,Bri,Bahrain Grand Prix,Bah,10223,0,0,0,1,0.9122807017543859,0.09210526315789469,0,0
Renault,Vitaly Petrov,2010,2010-03-14,17,22,17,1984-09-08,Rus,Fre,Bahrain Grand Prix,Bah,9318,0,0,0,1,0.8793103448275862,0.5301507537688442,0,1
Alfa Romeo,Kamui Kobayashi,2010,2010-03-14,16,9,16,1986-09-13,Jap,Swi,Bahrain Grand Prix,Bah,8583,0,0,0,1,0.8356164383561644,0.42713567839195976,0,1
Virgin,Lucas di Grassi,2010,2010-03-14,22,9,22,1984-08-11,Bra,Bri,Bahrain Grand Prix,Bah,9346,0,0,0,1,0.9473684210526316,0.09210526315789469,0,0
HRT,Karun Chandhok,2010,2010-03-14,24,3,24,1984-01-19,Ind,Spa,Bahrain Grand Prix,Bah,9551,0,0,1,0,0.8181818181818181,0.15652173913043477,0,0
McLaren,Jenson Button,2010,2010-03-28,4,1,4,1980-01-19,Bri,Bri,Australian Grand Prix,Aus,11026,0,0,0,0,0.9407407407407408,0.5914786967418546,0,1
Renault,Robert Kubica,2010,2010-03-28,9,1,9,1984-12-07,Pol,Fre,Australian Grand Prix,Aus,9242,0,0,0,0,0.975,0.5301507537688442,0,1
Ferrari,Felipe Massa,2010,2010-03-28,5,1,5,1981-04-25,Bra,Ita,Australian Grand Prix,Aus,10564,0,0,0,0,0.9161290322580645,0.8980099502487562,0,1
Ferrari,Fernando Alonso,2010,2010-03-28,3,1,3,1981-07-29,Spa,Ita,Australian Grand Prix,Aus,10469,0,0,0,0,0.9248554913294798,0.8980099502487562,0,1
Mercedes,Nico Rosberg,2010,2010-03-28,6,1,6,1985-06-27,Ger,Ger,Australian Grand Prix,Aus,9040,0,0,0,0,0.9485294117647058,0.8778054862842892,0,1
McLaren,Lewis Hamilton,2010,2010-03-28,11,1,11,1985-01-07,Bri,Bri,Australian Grand Prix,Aus,9211,0,0,0,0,0.945273631840796,0.5914786967418546,1,1
Racing Point,Vitantonio Liuzzi,2010,2010-03-28,13,1,13,1980-08-06,Ita,Ind,Australian Grand Prix,Aus,10826,0,0,0,0,0.7837837837837838,0.6084788029925188,0,1
Williams,Rubens Barrichello,2010,2010-03-28,8,1,8,1972-05-23,Bra,Bri,Australian Grand Prix,Aus,13823,0,0,0,0,0.972972972972973,0.4962593516209476,0,1
Red Bull,Mark Webber,2010,2010-03-28,2,1,2,1976-08-27,Aus,Aus,Australian Grand Prix,Aus,12266,1,1,0,0,0.935064935064935,0.825,0,1
Mercedes,Michael Schumacher,2010,2010-03-28,7,1,7,1969-01-03,Ger,Ger,Australian Grand Prix,Aus,15059,0,0,0,0,0.8771929824561404,0.8778054862842892,0,1
AlphaTauri,Jaime Alguersuari,2010,2010-03-28,17,1,17,1990-03-23,Spa,Ita,Australian Grand Prix,Aus,7310,0,0,0,0,0.9210526315789473,0.4547738693467337,0,1
Alfa Romeo,Pedro de la Rosa,2010,2010-03-28,14,1,14,1971-02-24,Spa,Swi,Australian Grand Prix,Aus,14277,0,0,0,0,0.8571428571428572,0.42713567839195976,0,1
Lotus,Heikki Kovalainen,2010,2010-03-28,19,12,19,1981-10-19,Fin,Mal,Australian Grand Prix,Aus,10387,0,0,0,1,0.95,0.07894736842105265,0,0
HRT,Karun Chandhok,2010,2010-03-28,22,15,24,1984-01-19,Ind,Spa,Australian Grand Prix,Aus,9565,0,0,0,1,0.8181818181818181,0.15652173913043477,0,0
